Date,Product ID,Product Type,Size,Color,Quantity Sold,Sales Channel,Marketing Channel,Revenue,Production Time,Cost per Unit,Customer Satisfaction,Product Rating,Customer Comments,Material Type,Printing Method,Discount Applied,Estimated Delivery Date,Supplier,Shipping Cost,Customer Location,Payment Method,Internal Comments,Order Number
2023-01-01,3732,Short Sleeve,XL,Green,1,Fair,Email,30.77,3.24,6.02,4.62,3.74,Good quality,Blend,Embroidery,No,2023-01-02,Supplier B,14.9,City A,Bank Transfer,Urgent,544475
2023-01-02,4264,Hoodie,L,Blue,6,Fair,Email,96.93,2.27,13.63,1.31,1.96,Good quality,Blend,Embroidery,Yes,2023-01-03,Supplier C,13.71,City B,PayPal,Special instructions,853254
2023-01-03,5859,Short Sleeve,M,Green,2,Fair,Organic Search,27.04,1.89,7.67,4.43,3.15,Good quality,Blend,Embroidery,Yes,2023-01-04,Supplier A,11.38,City B,PayPal,Urgent,109615
2023-01-04,8891,Hoodie,S,Red,6,Online,Organic Search,62.38,2.76,7.83,2.66,3.55,Good quality,Cotton,Sublimation,Yes,2023-01-05,Supplier B,10.28,City B,Credit Card,Special instructions,261147
2023-01-05,5373,Short Sleeve,L,Red,2,Social Media,Organic Search,36.17,4.95,19.7,1.17,4.6,Will buy again,Blend,Screen Printing,No,2023-01-06,Supplier B,6.0,City B,PayPal,Special instructions,929339
2023-01-06,6874,Hoodie,XL,Black,2,Social Media,Social Media,89.46,3.53,10.77,3.13,4.62,Good quality,Blend,Embroidery,Yes,2023-01-07,Supplier B,5.69,City A,PayPal,Handled with care,359739
2023-01-07,7744,Long Sleeve,M,Black,9,Social Media,Social Media,35.56,2.11,12.79,1.47,3.67,Good quality,Blend,Embroidery,No,2023-01-08,Supplier B,6.93,City A,PayPal,Urgent,349052
2023-01-08,4468,Short Sleeve,M,White,8,Fair,Social Media,78.92,4.94,14.98,1.32,1.85,Good quality,Cotton,Screen Printing,No,2023-01-09,Supplier C,5.12,City C,Credit Card,Handled with care,755552
2023-01-09,1705,Tank Top,XL,Green,4,Online,Organic Search,33.21,2.12,12.47,2.87,1.24,Will buy again,Cotton,Sublimation,No,2023-01-10,Supplier A,12.25,City C,Credit Card,Handled with care,183131
2023-01-10,3599,Short Sleeve,S,Black,6,Social Media,Social Media,95.05,3.88,15.89,2.26,4.01,Good quality,Cotton,Sublimation,Yes,2023-01-11,Supplier A,3.96,City A,Credit Card,Special instructions,795691
2023-01-11,3222,Hoodie,S,Blue,3,Fair,Social Media,73.07,2.05,5.39,4.53,2.44,Good quality,Blend,Sublimation,Yes,2023-01-12,Supplier B,10.81,City B,Bank Transfer,Special instructions,272309
2023-01-12,8768,Long Sleeve,XL,Black,7,Fair,Organic Search,53.21,4.1,15.15,2.26,1.48,Will buy again,Blend,Sublimation,No,2023-01-13,Supplier C,13.72,City B,PayPal,Special instructions,926118
2023-01-13,3897,Short Sleeve,XL,Red,4,Social Media,Organic Search,97.0,3.58,9.87,4.29,4.34,Good quality,Polyester,Screen Printing,Yes,2023-01-14,Supplier B,12.57,City B,PayPal,Handled with care,170809
2023-01-14,1537,Tank Top,S,Green,9,Social Media,Organic Search,61.92,3.29,18.19,1.02,3.15,Will buy again,Cotton,Sublimation,No,2023-01-15,Supplier C,8.82,City A,Credit Card,Handled with care,245399
2023-01-15,7216,Tank Top,L,Red,5,Social Media,Email,50.73,2.84,7.15,4.8,4.8,Good quality,Cotton,Screen Printing,Yes,2023-01-16,Supplier B,12.21,City A,PayPal,Special instructions,805427
2023-01-16,7921,Tank Top,L,Black,9,Social Media,Social Media,33.0,1.97,5.46,1.22,3.32,Fast delivery,Polyester,Embroidery,No,2023-01-17,Supplier C,14.19,City C,Bank Transfer,Special instructions,611282
2023-01-17,7036,Long Sleeve,M,Black,1,Social Media,Social Media,77.69,3.44,5.91,2.05,4.81,Good quality,Polyester,Sublimation,No,2023-01-18,Supplier B,5.47,City B,PayPal,Special instructions,702371
2023-01-18,3163,Tank Top,M,Red,9,Fair,Organic Search,67.71,4.5,12.83,1.1,3.19,Good quality,Blend,Sublimation,No,2023-01-19,Supplier C,8.28,City A,Credit Card,Special instructions,608512
2023-01-19,6072,Short Sleeve,L,White,5,Social Media,Organic Search,37.83,1.13,8.23,4.84,1.69,Good quality,Cotton,Sublimation,Yes,2023-01-20,Supplier B,9.1,City B,PayPal,Urgent,937010
2023-01-20,5851,Hoodie,M,White,1,Fair,Email,40.0,3.93,16.3,1.21,4.86,Not satisfied,Blend,Screen Printing,No,2023-01-21,Supplier C,11.23,City A,Credit Card,Handled with care,354842
2023-01-21,8877,Hoodie,L,Black,6,Fair,Social Media,37.63,4.52,5.83,2.4,1.36,Good quality,Blend,Sublimation,No,2023-01-22,Supplier A,14.05,City B,PayPal,Handled with care,731872
2023-01-22,3046,Short Sleeve,M,White,6,Social Media,Organic Search,59.67,3.47,8.52,3.66,1.73,Fast delivery,Cotton,Screen Printing,Yes,2023-01-23,Supplier C,7.56,City C,Credit Card,Handled with care,814979
2023-01-23,2871,Hoodie,L,Red,3,Social Media,Email,23.78,2.03,17.45,2.29,4.98,Fast delivery,Polyester,Embroidery,No,2023-01-24,Supplier C,4.97,City A,Bank Transfer,Urgent,116104
2023-01-24,8599,Tank Top,M,Green,5,Fair,Social Media,43.14,2.41,5.68,1.03,4.11,Will buy again,Cotton,Embroidery,Yes,2023-01-25,Supplier C,10.79,City A,Bank Transfer,Urgent,142296
2023-01-25,3496,Long Sleeve,M,Black,9,Social Media,Organic Search,78.93,4.0,16.81,1.96,4.36,Will buy again,Cotton,Embroidery,No,2023-01-26,Supplier A,10.02,City C,PayPal,Handled with care,953677
2023-01-26,9291,Hoodie,L,Blue,9,Fair,Social Media,69.7,2.47,6.68,3.86,2.89,Will buy again,Cotton,Embroidery,No,2023-01-27,Supplier A,8.8,City B,Credit Card,Special instructions,134361
2023-01-27,1755,Tank Top,S,White,5,Social Media,Email,85.49,1.03,17.64,2.51,2.51,Not satisfied,Blend,Screen Printing,No,2023-01-28,Supplier B,9.45,City B,Credit Card,Special instructions,812861
2023-01-28,1797,Hoodie,L,White,2,Online,Social Media,79.59,1.42,16.76,4.28,2.09,Not satisfied,Cotton,Screen Printing,Yes,2023-01-29,Supplier C,9.5,City A,PayPal,Urgent,250152
2023-01-29,1659,Short Sleeve,L,Blue,9,Social Media,Email,21.7,2.14,8.28,3.96,1.22,Not satisfied,Cotton,Screen Printing,Yes,2023-01-30,Supplier B,12.44,City B,PayPal,Urgent,148577
2023-01-30,4219,Short Sleeve,XL,Blue,9,Social Media,Organic Search,65.57,2.57,11.03,3.34,1.19,Not satisfied,Cotton,Screen Printing,No,2023-01-31,Supplier B,6.65,City A,Credit Card,Urgent,277089
2023-01-31,9615,Hoodie,S,Red,9,Online,Email,55.07,2.46,11.87,1.38,2.31,Fast delivery,Polyester,Embroidery,No,2023-02-01,Supplier B,10.67,City B,PayPal,Urgent,770708
2023-02-01,8456,Hoodie,M,Red,4,Online,Organic Search,48.9,4.23,10.91,4.93,1.9,Not satisfied,Blend,Embroidery,Yes,2023-02-02,Supplier C,9.27,City C,Credit Card,Handled with care,802022
2023-02-02,4337,Tank Top,S,White,4,Social Media,Email,99.39,1.89,8.17,3.08,3.67,Fast delivery,Blend,Sublimation,No,2023-02-03,Supplier A,4.89,City A,PayPal,Handled with care,665720
2023-02-03,3745,Hoodie,S,Green,3,Social Media,Social Media,72.56,2.64,8.39,2.04,1.68,Not satisfied,Polyester,Screen Printing,No,2023-02-04,Supplier C,8.5,City A,PayPal,Handled with care,574040
2023-02-04,5735,Long Sleeve,S,Red,6,Online,Organic Search,40.09,4.26,15.36,3.41,4.64,Not satisfied,Polyester,Screen Printing,No,2023-02-05,Supplier A,12.13,City A,Bank Transfer,Special instructions,500207
